date,year,month,month_num,country,visitors
2004-07-01,2004.0,Jul,7,Japan,1224.0
2004-07-01,2004.0,Jul,7,Netherlands,2185.0
2004-07-01,2004.0,Jul,7,Norway,2939.0
2004-07-01,2004.0,Jul,7,Other,7979.0
2004-07-01,2004.0,Jul,7,Spain,1287.0
2004-07-01,2004.0,Jul,7,Sweden,3798.0
2004-07-01,2004.0,Jul,7,Switzerland,3161.0
2004-07-01,2004.0,Jul,7,UK,7541.0
2004-07-01,2004.0,Jul,7,USA,7322.0
2004-08-01,2004.0,Aug,8,Canada,515.0
2004-08-01,2004.0,Aug,8,Denmark,4068.0
2004-08-01,2004.0,Aug,8,Finland,918.0
2004-08-01,2004.0,Aug,8,France,6429.0
2004-08-01,2004.0,Aug,8,Germany,10861.0
2004-08-01,2004.0,Aug,8,Italy,4001.0
2004-08-01,2004.0,Aug,8,Japan,1405.0
2004-08-01,2004.0,Aug,8,Netherlands,2235.0
2004-08-01,2004.0,Aug,8,Norway,2658.0
2004-08-01,2004.0,Aug,8,Other,7467.0
2004-08-01,2004.0,Aug,8,Spain,2395.0
2004-08-01,2004.0,Aug,8,Sweden,3091.0
2004-08-01,2004.0,Aug,8,Switzerland,1965.0
2004-08-01,2004.0,Aug,8,UK,8804.0
2004-08-01,2004.0,Aug,8,USA,7722.0
2004-09-01,2004.0,Sep,9,Canada,341.0
2004-09-01,2004.0,Sep,9,Denmark,3612.0
2004-09-01,2004.0,Sep,9,Finland,813.0
2004-09-01,2004.0,Sep,9,France,1403.0
2004-09-01,2004.0,Sep,9,Germany,3420.0
2004-09-01,2004.0,Sep,9,Italy,525.0
2004-09-01,2004.0,Sep,9,Japan,665.0
2004-09-01,2004.0,Sep,9,Netherlands,1085.0
2004-09-01,2004.0,Sep,9,Norway,2549.0
2004-09-01,2004.0,Sep,9,Other,3960.0
2004-09-01,2004.0,Sep,9,Spain,537.0
2004-09-01,2004.0,Sep,9,Sweden,2693.0
2004-09-01,2004.0,Sep,9,Switzerland,298.0
2004-09-01,2004.0,Sep,9,UK,4469.0
2004-09-01,2004.0,Sep,9,USA,4530.0
2004-10-01,2004.0,Oct,10,Canada,183.0
2004-10-01,2004.0,Oct,10,Denmark,2799.0
