Dagsetning;Gengisvísitala  -  ;
15.04.2015;205,4515;
14.04.2015;205,9273;
13.04.2015;206,1637;
10.04.2015;206,2671;
09.04.2015;205,9246;
08.04.2015;205,4487;
07.04.2015;205,4919;
01.04.2015;205,4091;
31.03.2015;205,1510;
30.03.2015;205,2659;
27.03.2015;205,8119;
26.03.2015;205,5622;
25.03.2015;205,7574;
24.03.2015;205,8693;
23.03.2015;206,7304;
20.03.2015;206,0343;
19.03.2015;206,2317;
18.03.2015;205,3287;
17.03.2015;205,2598;
16.03.2015;206,2670;
13.03.2015;206,2421;
12.03.2015;207,0175;
11.03.2015;207,0483;
10.03.2015;206,9201;
09.03.2015;206,8296;
06.03.2015;206,7242;
05.03.2015;206,7360;
04.03.2015;206,3893;
03.03.2015;206,3685;
02.03.2015;206,2149;
27.02.2015;206,0456;
26.02.2015;205,9297;
25.02.2015;206,0842;
24.02.2015;206,1815;
23.02.2015;205,8404;
20.02.2015;206,0756;
19.02.2015;205,6988;
18.02.2015;206,1224;
17.02.2015;206,0112;
16.02.2015;205,6353;
13.02.2015;205,2015;
12.02.2015;205,4015;
11.02.2015;205,9147;
10.02.2015;206,2618;
09.02.2015;205,8119;
06.02.2015;205,8932;
05.02.2015;205,6510;
04.02.2015;205,9580;
03.02.2015;206,5220;
02.02.2015;206,4300;
30.01.2015;206,6062;
29.01.2015;207,5401;
28.01.2015;207,6133;
27.01.2015;208,2801;
26.01.2015;209,1418;
23.01.2015;209,4282;
22.01.2015;208,7710;
21.01.2015;208,5251;
20.01.2015;208,4542;
19.01.2015;208,8135;
16.01.2015;208,5908;
15.01.2015;208,1350;
14.01.2015;206,7475;
13.01.2015;206,8797;
12.01.2015;206,9868;
09.01.2015;207,0571;
08.01.2015;207,1919;
07.01.2015;206,8390;
06.01.2015;206,4817;
05.01.2015;206,7727;
02.01.2015;206,8194;
31.12.2014;206,5807;
30.12.2014;206,6338;
29.12.2014;206,4990;
23.12.2014;206,7736;
22.12.2014;206,9552;
19.12.2014;206,9884;
18.12.2014;206,2395;
17.12.2014;204,6995;
16.12.2014;203,2348;
15.12.2014;204,4922;
12.12.2014;204,4799;
11.12.2014;204,9275;
10.12.2014;205,4118;
09.12.2014;205,6550;
08.12.2014;206,1670;
05.12.2014;205,3487;
04.12.2014;206,3822;
03.12.2014;206,2285;
02.12.2014;206,1736;
01.12.2014;206,2438;
28.11.2014;206,6950;
27.11.2014;207,1787;
26.11.2014;207,4649;
25.11.2014;208,0374;
24.11.2014;208,0655;
21.11.2014;207,1261;
20.11.2014;207,2275;
19.11.2014;207,5760;
18.11.2014;207,7386;
17.11.2014;208,1008;
14.11.2014;208,6041;
13.11.2014;208,2936;
12.11.2014;208,3445;
11.11.2014;208,4724;
10.11.2014;208,0716;
07.11.2014;207,7324;
06.11.2014;207,9073;
05.11.2014;206,7656;
04.11.2014;206,9170;
03.11.2014;206,8494;
31.10.2014;206,9265;
30.10.2014;207,1332;
29.10.2014;207,0822;
28.10.2014;207,1342;
27.10.2014;207,0259;
24.10.2014;206,8576;
23.10.2014;206,7526;
22.10.2014;206,4479;
21.10.2014;206,5428;
20.10.2014;206,5420;
17.10.2014;206,2228;
16.10.2014;206,4786;
15.10.2014;206,4484;
14.10.2014;207,0413;
13.10.2014;207,7059;
10.10.2014;206,9496;
09.10.2014;206,7428;
08.10.2014;206,3341;
07.10.2014;206,8306;
06.10.2014;206,6580;
03.10.2014;207,1420;
02.10.2014;207,2214;
01.10.2014;207,4185;
30.09.2014;207,5782;
29.09.2014;207,1318;
26.09.2014;207,1887;
25.09.2014;207,4567;
24.09.2014;208,0191;
23.09.2014;208,1730;
22.09.2014;208,3686;
19.09.2014;208,0408;
18.09.2014;207,9234;
17.09.2014;206,8865;
16.09.2014;206,7698;
15.09.2014;207,1162;
12.09.2014;207,8931;
11.09.2014;208,0718;
10.09.2014;206,8987;
09.09.2014;207,4823;
08.09.2014;207,2106;
05.09.2014;207,6583;
04.09.2014;207,5027;
03.09.2014;207,2878;
02.09.2014;207,5524;
01.09.2014;207,3701;
